DATASET_ID,COMMENT,FIELD,FORMAT,LINK,MIME_TYPE,TITLE
50,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/2a65ccced3a2421783eeddae32b7d58b/info/metadata/metadata.xml?format=default&amp;output=html,,Yukon Borders - Surveyed
51,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=f5ab25ca2f3f4b958ee16a47ff006488,,Contours - 1M
51,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Elevation/Contours_1M/,,Contours - 1M
51,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/f5ab25ca2f3f4b958ee16a47ff006488/info/metadata/metadata.xml?format=default&amp;output=html,,Contours - 1M
52,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=d4de4755ca60446f8693e866c8a85a7a,,Cultural Features Line - 50k
52,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Culture_and_Heritage/Cultural_Features_Line_50k/,,Cultural Features Line - 50k
52,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/d4de4755ca60446f8693e866c8a85a7a/info/metadata/metadata.xml?format=default&amp;output=html,,Cultural Features Line - 50k
53,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=e2bfbeec4fd6444d9e6afad3069c1ff4,,Cultural Features Polygon - 50k
53,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Culture_and_Heritage/Cultural_Features_Polygon_50k/,,Cultural Features Polygon - 50k
53,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/e2bfbeec4fd6444d9e6afad3069c1ff4/info/metadata/metadata.xml?format=default&amp;output=html,,Cultural Features Polygon - 50k
54,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=fc0f3c1c07c141b9809f0b6bfdbbc512,,Cultural Features Polygon - 250k
54,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Culture_and_Heritage/Cultural_Features_Polygon_250k/,,Cultural Features Polygon - 250k
54,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/fc0f3c1c07c141b9809f0b6bfdbbc512/info/metadata/metadata.xml?format=default&amp;output=html,,Cultural Features Polygon - 250k
55,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=18e180272dae4d91b9f85182f026bf3b,,Cultural Features Point - 50k
55,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Culture_and_Heritage/Cultural_Features_Point_50k/,,Cultural Features Point - 50k
55,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/18e180272dae4d91b9f85182f026bf3b/info/metadata/metadata.xml?format=default&amp;output=html,,Cultural Features Point - 50k
56,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=b9ed83aadb414a9aa1c9df49d1e980cb,,Cultural Features Point - 250k
56,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Culture_and_Heritage/Cultural_Features_Point_250k/,,Cultural Features Point - 250k
56,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/b9ed83aadb414a9aa1c9df49d1e980cb/info/metadata/metadata.xml?format=default&amp;output=html,,Cultural Features Point - 250k
57,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=1daba096b36444f487542140caf233f4,,Railroads - 50k - Canvec
57,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Transportation/Railroads_50k_Canvec/,,Railroads - 50k - Canvec
57,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/1daba096b36444f487542140caf233f4/info/metadata/metadata.xml?format=default&amp;output=html,,Railroads - 50k - Canvec
58,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=1e00aa3e7deb400e9d0dcfbcc66ac218,,Geographic Graticules
58,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Reference/Geographic_Graticules/,,Geographic Graticules
58,,API,xml,https://yukon.maps.arcgis.com/sharing/rest/content/items/1e00aa3e7deb400e9d0dcfbcc66ac218/info/metadata/metadata.xml?format=default&amp;output=html,,Geographic Graticules
59,,API,html,https://yukon.maps.arcgis.com/home/item.html?id=27989fb1cd1c4f4f8844d313d61c1b0d,,Ice and Snow - 1M
59,,API,ftp,https://map-data.service.yukon.ca/GeoYukon/Base/Ice_and_Snow_1M/,,Ice and Snow - 1M
